CountyRef,Longitude,Latitude,Mean_SO2
"East Baton Rouge, Louisiana, USA",-91.179219,30.461981,1.362011
"East Baton Rouge, Louisiana, USA",-91.235323,30.577617,1.786628
"St. Bernard, Louisiana, USA",-89.923883,29.939614,1.462185
"St. Bernard, Louisiana, USA",-89.97625,29.943164,6.62274
"St. Charles, Louisiana, USA",-90.411185,29.997366,7.009945
"St. James, Louisiana, USA",-90.670833,30.052341,0.561644
"West Baton Rouge, Louisiana, USA",-91.213556,30.500642,3.18415
"West Baton Rouge, Louisiana, USA",-91.284108,30.327723,2.178904
"Allegany, Maryland, USA",-79.0638,39.4864,5.133884
"Allegany, Maryland, USA",-79.026383,39.483617,9.21726
"Anne Arundel, Maryland, USA",-76.511025,39.158911,2.770508
"Hampden, Massachusetts, USA",-72.584503,42.120229,0.674636
"Ingham, Michigan, USA",-84.562779,42.761387,1.270959
"Ottawa, Michigan, USA",-86.196487,42.92361,1.512188
"St. Clair, Michigan, USA",-82.527801,42.786109,5.940274
"St. Clair, Michigan, USA",-82.47583,42.773556,5.325753
"Wayne, Michigan, USA",-83.157893,42.261669,3.39337
"Wayne, Michigan, USA",-83.091943,42.312158,3.462637
"Wayne, Michigan, USA",-83.129431,42.295824,4.238904
"Wayne, Michigan, USA",-83.103469,42.312078,4.790113
"Franklin, Missouri, USA",-90.86326,38.52814,2.846154
"Iron, Missouri, USA",-91.12795,37.65319,6.880548
"Iron, Missouri, USA",-91.1498,37.64876,4.592877
"Iron, Missouri, USA",-91.13565,37.63211,4.891233
"Jackson, Missouri, USA",-94.57079,39.104686,1.777686
"Jefferson, Missouri, USA",-90.37993,38.26351,2.039776
"New Madrid, Missouri, USA",-89.56093,36.51364,97.376301
"New Madrid, Missouri, USA",-89.56074,36.50838,74.989751
"New Madrid, Missouri, USA",-89.57099,36.50899,13.515775
"Saint Charles, Missouri, USA",-90.830618,38.595607,2.833803
"St. Louis City, Missouri, USA",-90.198348,38.656429,2.050416
"Richland, Montana, USA",-104.676944,47.8679,1.135838
"Douglas, Nebraska, USA",-95.946404,41.316675,2.693162
"Lancaster, Nebraska, USA",-96.78035,40.55476,1.577401
"Clark, Nevada, USA",-115.078742,36.141875,1.367908
"Hillsborough, New Hampshire, USA",-71.878626,42.86183,0.618234
"Merrimack, New Hampshire, USA",-71.458246,43.13246,1.690411
"Rockingham, New Hampshire, USA",-71.38014,42.862531,0.764184
"Camden, New Jersey, USA",-75.125219,39.934559,1.320613
"Hudson, New Jersey, USA",-74.066308,40.731645,1.046537
"Union, New Jersey, USA",-74.214854,40.662435,1.14478
"St. Lawrence, New York, USA",-74.9078,44.955468,15.86044
"St. Lawrence, New York, USA",-74.875,44.965412,7.665205
"Seneca, New York, USA",-76.7026,42.574106,0.472778
"Tompkins, New York, USA",-76.6152,42.613199,0.800275
"Buncombe, North Carolina, USA",-82.509719,35.481963,0.694618
"Caldwell, North Carolina, USA",-81.5306,35.9359,0.072757
"Durham, North Carolina, USA",-78.904037,36.032955,0.42
"Haywood, North Carolina, USA",-82.852868,35.534102,4.984615
"Burleigh, North Dakota, USA",-100.76821,46.825425,1.746197
"Dunn, North Dakota, USA",-102.645864,47.342423,1.408219
"Ward, North Dakota, USA",-101.571583,47.940861,1.643802
"Williams, North Dakota, USA",-102.894086,48.465253,2.096419
"Adams, Ohio, USA",-83.53398,38.79471,0.522034
